0,168
29,167
30,165
31,164
33,162
35,160
36,159
37,157
38,156
39,155
40,154
49,153
52,152
58,149
59,147
61,146
63,145
65,144
66,143
71,142
73,140
74,138
75,137
78,136
81,135
83,133
84,132
87,131
88,130
91,129
94,128
96,127
99,126
102,125
103,124
104,123
105,121
106,120
108,118
110,117
112,116
114,114
120,113
126,112
135,110
137,109
138,108
139,106
142,104
145,102
151,101
155,100
157,99
158,98
159,97
162,95
163,93
164,92
166,90
168,89
169,88
171,87
172,86
183,84
184,82
185,79
186,76
187,72
188,70
194,68
195,67
196,65
197,63
198,57
199,56
200,55
201,54
206,51
207,49
208,47
209,43
210,42
211,41
212,39
213,38
217,35
218,33
219,32
220,30
221,28
222,26
224,25
225,24
226,22
228,19
230,16
231,14
232,12
234,11
235,9
237,8
238,4
239,2
240,0
252,4
276,3
277,1
278,0
290,5
298,4
319,3
323,1
324,0
337,6
347,4
351,3
352,1
353,0
359,3
365,1
370,0
378,2
383,1
389,0
