OrderedDict([('run_time', 387.52179884910583), ('rx_bytes', 4561163073), ('tx_bytes', 4370459134), ('read_bytes', 43949789184), ('write_bytes', 1309548544), ('map_tasks', 164), ('reduce_tasks', 2)])
job_1475292842338_0002 15206654825 66584461 51 0
job_1475292842338_0001 7607695644 33559290 26 0
job_1475292842338_0006 1803108 1756938 1 1
job_1475292842338_0003 20137315315 124611113 75 0
job_1475292842338_0004 224865955 6871996 9 0
job_1475292842338_0005 6896837 1797898 2 1
job_1475292842338_0005 -> job_1475292842338_0006
job_1475292842338_0004 -> job_1475292842338_0005

1475293048246 TASK_STARTED MAP
1475293048246 TASK_STARTED MAP
1475293048247 TASK_STARTED MAP
1475293048247 TASK_STARTED MAP
1475293048247 TASK_STARTED MAP
1475293048248 TASK_STARTED MAP
1475293048248 TASK_STARTED MAP
1475293048248 TASK_STARTED MAP
1475293048249 TASK_STARTED MAP
1475293048249 TASK_STARTED MAP
1475293048249 TASK_STARTED MAP
1475293048250 TASK_STARTED MAP
1475293048251 TASK_STARTED MAP
1475293048251 TASK_STARTED MAP
1475293048252 TASK_STARTED MAP
1475293048252 TASK_STARTED MAP
1475293048252 TASK_STARTED MAP
1475293048253 TASK_STARTED MAP
1475293048254 TASK_STARTED MAP
1475293048254 TASK_STARTED MAP
1475293048255 TASK_STARTED MAP
1475293048256 TASK_STARTED MAP
1475293048256 TASK_STARTED MAP
1475293048257 TASK_STARTED MAP
1475293048257 TASK_STARTED MAP
1475293048257 TASK_STARTED MAP
1475293048258 TASK_STARTED MAP
1475293048258 TASK_STARTED MAP
1475293048258 TASK_STARTED MAP
1475293048259 TASK_STARTED MAP
1475293048259 TASK_STARTED MAP
1475293048259 TASK_STARTED MAP
1475293048260 TASK_STARTED MAP
1475293048260 TASK_STARTED MAP
1475293048260 TASK_STARTED MAP
1475293048261 TASK_STARTED MAP
1475293048261 TASK_STARTED MAP
1475293048262 TASK_STARTED MAP
1475293048262 TASK_STARTED MAP
1475293048263 TASK_STARTED MAP
1475293048264 TASK_STARTED MAP
1475293048265 TASK_STARTED MAP
1475293048265 TASK_STARTED MAP
1475293048266 TASK_STARTED MAP
1475293048266 TASK_STARTED MAP
1475293048266 TASK_STARTED MAP
1475293048267 TASK_STARTED MAP
1475293048267 TASK_STARTED MAP
1475293048267 TASK_STARTED MAP
1475293048268 TASK_STARTED MAP
1475293048268 TASK_STARTED MAP
1475293048268 TASK_STARTED MAP
1475293048269 TASK_STARTED MAP
1475293048269 TASK_STARTED MAP
1475293048270 TASK_STARTED MAP
1475293048270 TASK_STARTED MAP
1475293048271 TASK_STARTED MAP
1475293048271 TASK_STARTED MAP
1475293048271 TASK_STARTED MAP
1475293048272 TASK_STARTED MAP
1475293048273 TASK_STARTED MAP
1475293048273 TASK_STARTED MAP
1475293048273 TASK_STARTED MAP
1475293048274 TASK_STARTED MAP
1475293048274 TASK_STARTED MAP
1475293048274 TASK_STARTED MAP
1475293048275 TASK_STARTED MAP
1475293048275 TASK_STARTED MAP
1475293048275 TASK_STARTED MAP
1475293048276 TASK_STARTED MAP
1475293048276 TASK_STARTED MAP
1475293048276 TASK_STARTED MAP
1475293070821 TASK_FINISHED MAP
1475293071939 TASK_FINISHED MAP
1475293071942 TASK_FINISHED MAP
1475293072364 TASK_FINISHED MAP
1475293072479 TASK_FINISHED MAP
1475293072576 TASK_FINISHED MAP
1475293072650 TASK_FINISHED MAP
1475293072670 TASK_FINISHED MAP
1475293072812 TASK_FINISHED MAP
1475293072814 TASK_FINISHED MAP
1475293072826 TASK_FINISHED MAP
1475293072847 TASK_FINISHED MAP
1475293073247 TASK_FINISHED MAP
1475293073265 TASK_FINISHED MAP
1475293073776 TASK_FINISHED MAP
1475293073942 TASK_FINISHED MAP
1475293090349 TASK_FINISHED MAP
1475293091845 TASK_FINISHED MAP
1475293092727 TASK_FINISHED MAP
1475293093486 TASK_FINISHED MAP
1475293093661 TASK_FINISHED MAP
1475293093829 TASK_FINISHED MAP
1475293094038 TASK_FINISHED MAP
1475293094221 TASK_FINISHED MAP
1475293094632 TASK_FINISHED MAP
1475293094944 TASK_FINISHED MAP
1475293095006 TASK_FINISHED MAP
1475293095074 TASK_FINISHED MAP
1475293095161 TASK_FINISHED MAP
1475293095725 TASK_FINISHED MAP
1475293095971 TASK_FINISHED MAP
1475293097771 TASK_FINISHED MAP
1475293103449 TASK_FINISHED MAP
