0,26
24,25
25,22
35,18
36,16
37,12
38,10
42,9
48,8
49,7
50,5
52,4
53,2
54,1
58,0
64,51
93,50
94,48
95,45
96,41
100,39
101,35
117,32
119,31
120,30
121,29
123,28
124,26
125,25
127,24
130,21
131,19
140,18
142,17
145,15
146,14
150,12
151,11
152,10
154,9
156,7
157,2
161,0
169,75
192,74
193,71
200,66
201,63
202,60
204,59
213,58
215,57
217,56
218,55
222,54
223,53
225,52
226,50
227,46
228,45
229,44
230,43
236,42
240,40
241,39
243,38
245,37
249,35
250,33
252,29
256,28
257,27
258,25
262,24
263,22
268,21
271,19
273,17
275,16
278,15
279,14
280,12
282,11
283,10
284,9
285,6
289,4
292,2
293,1
295,0
308,12
316,10
317,7
318,5
319,1
320,0
333,4
342,1
349,0
354,2
361,1
368,0
