OrderedDict([('run_time', 407.2235951423645), ('rx_bytes', 11576672814), ('tx_bytes', 11094856990), ('read_bytes', 43667439616), ('write_bytes', 1331363840), ('map_tasks', 162), ('reduce_tasks', 2)])
job_1475292224374_0006 1803108 1756938 1 1
job_1475292224374_0004 224849949 6871844 7 0
job_1475292224374_0002 15206654825 66584461 51 0
job_1475292224374_0001 7607695644 33559290 26 0
job_1475292224374_0003 20137315315 124611113 75 0
job_1475292224374_0005 6896171 1797898 2 1
job_1475292224374_0005 -> job_1475292224374_0006
job_1475292224374_0004 -> job_1475292224374_0005

1475292274434 TASK_STARTED MAP
1475292274441 TASK_STARTED MAP
1475292274442 TASK_STARTED MAP
1475292274443 TASK_STARTED MAP
1475292274443 TASK_STARTED MAP
1475292274444 TASK_STARTED MAP
1475292274444 TASK_STARTED MAP
1475292274445 TASK_STARTED MAP
1475292274446 TASK_STARTED MAP
1475292274446 TASK_STARTED MAP
1475292274448 TASK_STARTED MAP
1475292274452 TASK_STARTED MAP
1475292274452 TASK_STARTED MAP
1475292274452 TASK_STARTED MAP
1475292274453 TASK_STARTED MAP
1475292274454 TASK_STARTED MAP
1475292274455 TASK_STARTED MAP
1475292274455 TASK_STARTED MAP
1475292274457 TASK_STARTED MAP
1475292274457 TASK_STARTED MAP
1475292274458 TASK_STARTED MAP
1475292274458 TASK_STARTED MAP
1475292274459 TASK_STARTED MAP
1475292274460 TASK_STARTED MAP
1475292274460 TASK_STARTED MAP
1475292274460 TASK_STARTED MAP
1475292299421 TASK_FINISHED MAP
1475292301214 TASK_FINISHED MAP
1475292301753 TASK_FINISHED MAP
1475292302509 TASK_FINISHED MAP
1475292302590 TASK_FINISHED MAP
1475292302933 TASK_FINISHED MAP
1475292302944 TASK_FINISHED MAP
1475292302956 TASK_FINISHED MAP
1475292303290 TASK_FINISHED MAP
1475292303296 TASK_FINISHED MAP
1475292303505 TASK_FINISHED MAP
1475292303647 TASK_FINISHED MAP
1475292304078 TASK_FINISHED MAP
1475292304214 TASK_FINISHED MAP
1475292304478 TASK_FINISHED MAP
1475292304628 TASK_FINISHED MAP
1475292311548 TASK_FINISHED MAP
1475292313650 TASK_FINISHED MAP
1475292316376 TASK_FINISHED MAP
1475292316536 TASK_FINISHED MAP
1475292316656 TASK_FINISHED MAP
1475292317946 TASK_FINISHED MAP
1475292321631 TASK_FINISHED MAP
1475292323464 TASK_FINISHED MAP
1475292324061 TASK_FINISHED MAP
1475292325596 TASK_FINISHED MAP
1475292333334 TASK_STARTED MAP
1475292333345 TASK_STARTED MAP
1475292333346 TASK_STARTED MAP
1475292333346 TASK_STARTED MAP
1475292333347 TASK_STARTED MAP
1475292333348 TASK_STARTED MAP
1475292333348 TASK_STARTED MAP
1475292333348 TASK_STARTED MAP
1475292333349 TASK_STARTED MAP
1475292333349 TASK_STARTED MAP
1475292333349 TASK_STARTED MAP
1475292333349 TASK_STARTED MAP
